,OCC_TITLE,OCC_GROUP
448,Heavy and Tractor-Trailer Truck Drivers,detailed
449,Light Truck or Delivery Services Drivers,detailed
450,Taxi Drivers and Chauffeurs,detailed
451,"Motor Vehicle Operators, All Other",detailed
452,Sailors and Marine Oilers,detailed
453,"Captains, Mates, and Pilots of Water Vessels",detailed
454,Ship Engineers,detailed
455,Parking Lot Attendants,detailed
456,Automotive and Watercraft Service Attendants,detailed
457,Transportation Inspectors,detailed
458,"Transportation Workers, All Other",detailed
459,Excavating and Loading Machine and Dragline Operators,detailed
460,Industrial Truck and Tractor Operators,detailed
461,Cleaners of Vehicles and Equipment,detailed
462,"Laborers and Freight, Stock, and Material Movers, Hand",detailed
463,"Packers and Packagers, Hand",detailed
464,Refuse and Recyclable Material Collectors,detailed
531,"Kindergarten Teachers, Except Special Education",detailed
539,"Education, Training, and Library Workers, All Other",detailed
720,Mechanical Drafters,detailed
723,Chemical Technicians,detailed
736,"Middle School Teachers, Except Special and Career/Technical Education",detailed
762,"Health Technologists and Technicians, All Other",detailed
775,Correctional Officers and Jailers,detailed
851,Pipelayers,detailed
853,Highway Maintenance Workers,detailed
862,Outdoor Power Equipment and Other Small Engine Mechanics,detailed
871,Structural Metal Fabricators and Fitters,detailed
874,"Meat, Poultry, and Fish Cutters and Trimmers",detailed
875,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
877,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed
879,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed
880,Tool and Die Makers,detailed
882,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed
884,Sewing Machine Operators,detailed
888,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed
889,"Painters, Transportation Equipment",detailed
941,Industrial Engineering Technicians,detailed
957,"Special Education Teachers, Secondary School",detailed
984,Athletic Trainers,detailed
1092,Electrical and Electronic Equipment Assemblers,detailed
